,Batch,Wafer,Maskset,TestSite,Date,Operator,DieColumn,DieRow,Rsq of IV (1),I at -1V [A],I at 1V [A],Rsq of Ref.spectrum(Nth),Max Transmission of Ref.spec.(dB)
0,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:17:03 2019,ykim,-1,-1,8.690736039254501,2.60011618235931e-08,0.006701704999935763,10032502125.470383,-7.865232131880475
1,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:23:09 2019,ykim,-3,-1,6.342937012021233,4.891146012987017e-08,0.006328397999415216,1664562875580.1155,-9.05611175717786
2,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 20:23:41 2019,ykim,3,-1,6.506542074648044,4.5927367727272765e-08,0.006375595999951904,1714769470587.3628,-9.491288715507835
3,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:53:07 2019,ykim,-3,-3,5.856828992153127,5.4655298133116936e-08,0.006316234999895816,17222033377691.062,-8.345744494348764
4,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:41:08 2019,ykim,0,-3,6.433352476288532,4.8164719512987056e-08,0.006532865999935813,6105128475532.144,-8.910384164191782
5,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 20:29:59 2019,ykim,2,-3,5.5358735932285175,6.664091388528142e-08,0.006519704999890048,396324246521.4841,-9.523608943680301
6,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:47:08 2019,ykim,-1,-4,5.347891652185388,7.78338189069265e-08,0.006401757999622983,13647539451442.256,-9.581166407093406
7,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:59:15 2019,ykim,-4,0,5.474566968243222,6.760644606601738e-08,0.006039912999883872,2036112767102.3625,-9.72983547206968
8,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:10:52 2019,ykim,0,0,14.587111546198873,8.983371732142862e-09,0.006707281999803932,11722268886356.857,-7.802330828271806
9,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:35:08 2019,ykim,2,0,7.113580673525055,4.1480967104978403e-08,0.006591848999882192,920683009499.225,-8.047353348461911
10,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 19:29:08 2019,ykim,-1,2,6.371410260011874,4.595993869588749e-08,0.004469958530656903,992770150370.0111,-8.205828234087676
11,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 20:05:20 2019,ykim,-3,2,5.535981338619279,6.18441776298702e-08,0.006069296999601608,4317091611329.2896,-9.491354461293668
12,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 20:17:18 2019,ykim,2,2,6.311752664982323,4.8071639155844205e-08,0.006130082999586372,1972035874084.0498,-8.384886768180877
13,HY202103,D07,LION1,DCM_LMZC,Mon Jul 15 20:11:19 2019,ykim,0,3,6.073128296208491,4.9711071856060645e-08,0.0041658480449338064,1863031334605.6426,-8.798578082118183
14,HY202103,D08,LION1,DCM_LMZO,Sun May 26 09:24:07 2019,magdzi83,-1,-1,4.571738143358517,5.313785201839832e-08,0.006792968999942333,629770392600.902,-5.561793108936399
15,HY202103,D08,LION1,DCM_LMZO,Sun May 26 09:55:58 2019,magdzi83,-3,-1,4.47283154315798,6.289546534632038e-08,0.006482824999923531,566623989352.2793,-5.540792066603899
16,HY202103,D08,LION1,DCM_LMZO,Sun May 26 15:15:22 2019,magdzi83,3,-1,4.590321039410038,5.357975213744594e-08,0.0066560529999031975,820667051574.6184,-6.342321381904185
17,HY202103,D08,LION1,DCM_LMZO,Sun May 26 12:35:44 2019,magdzi83,-3,-3,4.377275930458415,6.763886001082256e-08,0.006389173999564668,321293963409.7447,-6.059166655410081
18,HY202103,D08,LION1,DCM_LMZO,Sun May 26 11:31:53 2019,magdzi83,0,-3,4.366091153352108,3.8483232283549814e-08,0.006725122999938702,483786372460.5768,-5.598397915717214
19,HY202103,D08,LION1,DCM_LMZO,Sun May 26 15:47:16 2019,magdzi83,2,-3,4.440301439477436,5.9379468100649394e-08,0.0068242509996187025,391990009940.0483,-6.598169669974595
20,HY202103,D08,LION1,DCM_LMZO,Sun May 26 12:03:46 2019,magdzi83,-1,-4,4.3371713354049355,7.641008809523814e-08,0.006439531999935614,103300216594.4972,-6.301114492118359
21,HY202103,D08,LION1,DCM_LMZO,Sun May 26 13:07:36 2019,magdzi83,-4,0,4.300037737234952,7.636793594155849e-08,0.00646411099966764,745085972078.0356,-6.436824735254049
22,HY202103,D08,LION1,DCM_LMZO,Sun May 26 08:52:11 2019,magdzi83,0,0,4.333608565923696,7.207416222402606e-08,0.006919173999936352,1366204264201.1465,-5.89572114078328
23,HY202103,D08,LION1,DCM_LMZO,Sun May 26 11:00:00 2019,magdzi83,2,0,4.386407583669556,3.4448431661255435e-08,0.006729573999852986,867837052048.3756,-5.481081553734839
24,HY202103,D08,LION1,DCM_LMZO,Sun May 26 10:28:02 2019,magdzi83,-1,2,4.3485946579755845,3.53641665882035e-08,0.006348049999869109,1481731345678.5068,-5.841638137586415
25,HY202103,D08,LION1,DCM_LMZO,Sun May 26 13:39:30 2019,magdzi83,-3,2,4.362239715364827,6.348354507034638e-08,0.0064094979999410676,1830445643910.3923,-6.371494349092245
26,HY202103,D08,LION1,DCM_LMZO,Sun May 26 14:43:25 2019,magdzi83,2,2,4.353424135038794,3.945890857683985e-08,0.006442895999948957,1126648607847.22,-5.822578369639814
27,HY202103,D08,LION1,DCM_LMZO,Sun May 26 14:11:26 2019,magdzi83,0,3,4.585118525983959,5.301152595238099e-08,0.00635605499989038,953809014846.2314,-6.115466828458011
28,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:00:46 2019,magdzi83,-1,-1,0.07515039233060444,1.1449331282467734e-12,0.005356430999991913,5253592573056.201,-8.559803064912558
29,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:02:28 2019,magdzi83,-3,-1,1.7448786624209611,4.937871715638531e-10,0.004992431999989606,11686650437084.094,-9.365062126889825
30,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:19:41 2019,magdzi83,3,-1,1.5187004559990929,2.6967913111471877e-10,0.005288171999996165,4974790129078.353,-9.974014479666948
31,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:11:11 2019,magdzi83,-3,-3,2.208024589588836,5.639728901515157e-10,0.0012025928920308374,25203825413747.668,-8.776123786345124
32,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:07:30 2019,magdzi83,0,-3,1.5155525096094442,2.789781966450218e-10,0.0013106504161210062,8784452130533.258,-9.153465306386352
33,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:21:13 2019,magdzi83,2,-3,4.654630563285118,1.9952370511363655e-09,0.005340959999950075,3548250821013.5884,-10.134538271464407
34,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:09:01 2019,magdzi83,-1,-4,5.426689516613641,2.717799511634201e-09,0.0050569529999997045,36100635448839.03,-9.054097751155496
35,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:12:44 2019,magdzi83,-4,0,4.715815575728786,2.0790035395021663e-09,0.001243757802140852,1829796596196.149,-10.242750641424209
36,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 11:59:15 2019,magdzi83,0,0,6.741495835674965,5.052157255411271e-12,0.0013648121693096442,8125722486457.252,-9.332873780280352
37,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:05:53 2019,magdzi83,2,0,0.7350066264809063,8.05092516801949e-11,0.0013217717158959075,19788428138366.133,-8.407654155045748
38,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:04:09 2019,magdzi83,-1,2,0.2349255715003604,4.7161176030844346e-11,0.004884109999986389,15495448223012.1,-9.188506320118904
39,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:14:43 2019,magdzi83,-3,2,3.914566505180892,1.9522100441017335e-09,0.005000289999999197,4383205328538.3726,-10.593460678122938
40,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:18:08 2019,magdzi83,2,2,1.7472359806794422,4.0431395776515173e-10,0.001296746171235675,11237088326254.951,-9.581132745370269
41,HY202103,D08,LION1,DCM_LMZC,Fri Jul 12 12:16:27 2019,magdzi83,0,3,2.4463883110659586,8.529723388528145e-10,0.005047701999999733,11346446523410.78,-9.759542973712087
42,HY202103,D23,LION1,DCM_LMZO,Fri May 31 08:19:52 2019,magdzi83,-1,-1,50.09184179914483,1.1632207643398274e-10,1.3429793869172925e-10,2245685610739.9263,-5.781246831640601
43,HY202103,D23,LION1,DCM_LMZO,Fri May 31 08:53:46 2019,magdzi83,-3,-1,222.94025857810942,1.1552907372835512e-10,1.2900565043193863e-10,486868641822.5292,-5.657443534582853
44,HY202103,D23,LION1,DCM_LMZO,Fri May 31 14:32:04 2019,magdzi83,3,-1,42.134692342838484,1.1797381693722902e-10,1.348007013012992e-10,926685694666.8318,-6.339389152824879
45,HY202103,D23,LION1,DCM_LMZO,Fri May 31 11:42:51 2019,magdzi83,-3,-3,231.60971493649149,1.1600221872294368e-10,1.3147348097551887e-10,137301849319.72218,-6.49708810984157
46,HY202103,D23,LION1,DCM_LMZO,Fri May 31 10:35:13 2019,magdzi83,0,-3,138.63051913676296,1.1570581144480501e-10,1.3218623331057212e-10,745022720132.3041,-5.497243756428361
47,HY202103,D23,LION1,DCM_LMZO,Fri May 31 15:05:51 2019,magdzi83,2,-3,144.8685325647195,1.1514830938852811e-10,1.3144041192331495e-10,531790799624.0139,-6.530102747026831
48,HY202103,D23,LION1,DCM_LMZO,Fri May 31 11:09:01 2019,magdzi83,-1,-4,155.2092931598012,1.1572891701839832e-10,1.293018500000098e-10,112879506097.7368,-6.813343087211251
49,HY202103,D23,LION1,DCM_LMZO,Fri May 31 12:16:41 2019,magdzi83,-4,0,192.0827571529739,1.1750730514069267e-10,1.295507649144073e-10,734773520518.4922,-6.358548807911575
50,HY202103,D23,LION1,DCM_LMZO,Fri May 31 07:45:58 2019,magdzi83,0,0,140.64953131634465,1.1599765971320345e-10,1.29718186157658e-10,2392182363635.189,-6.047574616968632
51,HY202103,D23,LION1,DCM_LMZO,Fri May 31 10:01:26 2019,magdzi83,2,0,47.89296891843475,1.1752764575216413e-10,1.3301797553981574e-10,861494572190.946,-5.455220382660627
52,HY202103,D23,LION1,DCM_LMZO,Fri May 31 09:27:38 2019,magdzi83,-1,2,52.05606079213142,1.149375359036796e-10,1.311766429863138e-10,1289388110840.5583,-5.899339529685676
53,HY202103,D23,LION1,DCM_LMZO,Fri May 31 12:50:34 2019,magdzi83,-3,2,52.92511931889929,1.1584326314935021e-10,1.3366950186294987e-10,2426838240213.5605,-6.814685708843172
54,HY202103,D23,LION1,DCM_LMZO,Fri May 31 13:58:11 2019,magdzi83,2,2,46.770510289471,1.1652796136363647e-10,1.3111399375768803e-10,1861323913542.7603,-5.953468443825841
55,HY202103,D23,LION1,DCM_LMZO,Fri May 31 13:24:24 2019,magdzi83,0,3,163.46873747849392,1.1577115643939386e-10,1.300664750123744e-10,2786916647541.7905,-6.426888100802898
56,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 20:59:48 2019,magdzi83,-1,-1,3.9398212664049526,2.139426566558443e-07,0.001212968275721533,1495287739803.5146,-5.7007687371224165
57,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:08:15 2019,magdzi83,-3,-1,3.942396769260748,2.206595568452383e-07,0.0010698692110512947,353498858934.64307,-5.751661160495132
58,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 22:32:51 2019,magdzi83,3,-1,4.058365001392052,1.3370025873917762e-07,0.0011048157359342921,943218981346.809,-6.337204057723284
59,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:50:30 2019,magdzi83,-3,-3,3.967396398276481,1.894030193722945e-07,0.00458203999850805,419911144387.09766,-6.687796100508422
60,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:33:37 2019,magdzi83,0,-3,3.984855908058808,1.7355689853896113e-07,0.004446675998803522,296098085616.308,-5.67379424860701
61,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 22:41:18 2019,magdzi83,2,-3,4.041130536684356,1.4357792429653687e-07,0.0034586549993003567,558884913556.616,-6.4652114398777485
62,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:42:04 2019,magdzi83,-1,-4,3.9522170194194133,1.9969609661796556e-07,0.0046977509998359975,331111832941.608,-7.032441513147205
63,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:58:59 2019,magdzi83,-4,0,3.981035449662576,1.7591343793290064e-07,0.004466549999649672,823008954653.844,-6.445900230668485
64,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 20:51:20 2019,magdzi83,0,0,3.919717286483314,2.3892282697510846e-07,0.004384929999544588,2182640711442.9927,-6.0232418067753315
65,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:25:11 2019,magdzi83,2,0,3.9850669635241447,1.709507436688313e-07,0.0009511182576643454,862790522145.5818,-5.449971530586481
66,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 21:16:44 2019,magdzi83,-1,2,3.9736791403285334,1.8853863552489194e-07,0.004698495999842196,1289958363806.967,-5.917566208168864
67,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 22:07:28 2019,magdzi83,-3,2,4.005881898855857,1.556189262716452e-07,0.004886193999775257,2665167559040.159,-6.819283274933696
68,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 22:24:21 2019,magdzi83,2,2,4.059870314861675,1.302402670725109e-07,0.0011592235258321851,1912469761806.77,-5.958446829579771
69,HY202103,D23,LION1,DCM_LMZO,Mon Jun 03 22:15:53 2019,magdzi83,0,3,4.055035857983271,1.3582290349025992e-07,0.0010747400484386993,2817088760918.203,-6.44626113306731
70,HY202103,D24,LION1,DCM_LMZO,Fri May 31 16:17:17 2019,magdzi83,-1,-1,177.49275701838462,1.1564575029761895e-10,1.3335668418272525e-10,966673406349.9265,-5.641824311576784
71,HY202103,D24,LION1,DCM_LMZO,Fri May 31 16:51:02 2019,magdzi83,-3,-1,191.89227907638588,1.1575321709956713e-10,1.3010835000004386e-10,95332137540.71942,-5.958977621747181
72,HY202103,D24,LION1,DCM_LMZO,Fri May 31 22:29:20 2019,magdzi83,3,-1,216.0169186467451,1.1811886582792214e-10,1.2713398803998258e-10,612160850469.0636,-6.736523398198187
73,HY202103,D24,LION1,DCM_LMZO,Fri May 31 19:40:07 2019,magdzi83,-3,-3,150.6530597780583,1.170259399891775e-10,1.2859374996687142e-10,116993347491.34811,-6.952675438020378
74,HY202103,D24,LION1,DCM_LMZO,Fri May 31 18:32:34 2019,magdzi83,0,-3,146.63136030627504,1.1797290976731616e-10,1.2571054100150593e-10,489481452866.68695,-5.653768424876034
75,HY202103,D24,LION1,DCM_LMZO,Fri May 31 23:03:08 2019,magdzi83,2,-3,213.4355399371169,1.1172219109848488e-10,1.384536335497144e-10,410554186908.5114,-6.853132208343595
76,HY202103,D24,LION1,DCM_LMZO,Fri May 31 19:06:21 2019,magdzi83,-1,-4,157.36063161184813,1.175222589285715e-10,1.2223194409485938e-10,320579887475.4366,-7.353465922642499
77,HY202103,D24,LION1,DCM_LMZO,Fri May 31 20:14:04 2019,magdzi83,-4,0,47.170400313805615,1.1780569556277066e-10,1.327524714916165e-10,242988945528.4998,-6.395083417650312
78,HY202103,D24,LION1,DCM_LMZO,Fri May 31 15:43:29 2019,magdzi83,0,0,46.83952799000746,1.1671813831168823e-10,1.3006665086156802e-10,1139759478168.3987,-5.756275460124016
79,HY202103,D24,LION1,DCM_LMZO,Fri May 31 17:58:43 2019,magdzi83,2,0,125.58945277032727,1.1760165603354979e-10,1.3061906824824726e-10,1312917312809.3564,-5.7851717649027705
80,HY202103,D24,LION1,DCM_LMZO,Fri May 31 17:24:53 2019,magdzi83,-1,2,174.88408858349587,1.1807435687229442e-10,1.283068635747224e-10,1442752162061.8286,-5.9048225088045
81,HY202103,D24,LION1,DCM_LMZO,Fri May 31 20:47:49 2019,magdzi83,-3,2,156.9553760375235,1.167995052489178e-10,1.3028816784731487e-10,1458004770009.4062,-6.238281957805157
82,HY202103,D24,LION1,DCM_LMZO,Fri May 31 21:55:28 2019,magdzi83,2,2,220.04464775848604,1.1664415319264068e-10,1.305273000003983e-10,1610175875332.459,-5.769670466892421
83,HY202103,D24,LION1,DCM_LMZO,Fri May 31 21:21:38 2019,magdzi83,0,3,57.668388711048465,1.1655087454004348e-10,1.3341812096423836e-10,1268239521691.539,-6.08097030967474
84,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:01:59 2019,magdzi83,-1,-1,3.903327950725809,3.0471394659090935e-07,0.00105636173575607,715566625873.7449,-5.638829676900059
85,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:10:26 2019,magdzi83,-3,-1,3.904527726278179,2.9983319767316044e-07,0.0029447349996438764,163327235844.62103,-5.802906746510416
86,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:35:02 2019,magdzi83,3,-1,3.9351512777953683,2.3306292305194823e-07,0.004511871998653052,210534415888.51483,-6.681270282249898
87,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:52:43 2019,magdzi83,-3,-3,3.93043265998126,2.5492162478355e-07,0.0019226199990079848,153937236252.63647,-6.868849160615355
88,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:35:50 2019,magdzi83,0,-3,3.9171861891976243,2.656682889880955e-07,0.0024466734254939837,462716881658.8706,-5.541843913495541
89,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:43:28 2019,magdzi83,2,-3,3.938558590526192,2.25853497646104e-07,0.004335666999843659,442129009681.0882,-6.77468286594376
90,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:44:17 2019,magdzi83,-1,-4,3.9219911040050004,2.6334850660173175e-07,0.002274569998116801,67962193955.4443,-7.044722510268912
91,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:01:10 2019,magdzi83,-4,0,3.9259553100065387,2.544518158820348e-07,0.002145133998081084,336700426873.74646,-6.2982642580755055
92,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 22:53:33 2019,magdzi83,0,0,3.901710375056703,3.055978116341995e-07,0.001297714587504417,990075275481.1624,-5.792296275962144
93,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:27:20 2019,magdzi83,2,0,3.911516589826234,2.7871427110389634e-07,0.003622513999767663,1344816441104.8367,-5.7741251746192575
94,HY202103,D24,LION1,DCM_LMZO,Mon Jun 03 23:18:54 2019,magdzi83,-1,2,3.9074407944381084,2.901259745129872e-07,0.004256893999202755,1523097593406.008,-5.77563454490155
95,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:09:37 2019,magdzi83,-3,2,3.931696915237324,2.5119353457792224e-07,0.004634427997974882,1810739388762.7407,-6.18009206559509
96,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:26:34 2019,magdzi83,2,2,3.9377151857796187,2.3050496469155863e-07,0.004386543998584132,2960107801241.2363,-6.018157107755542
97,HY202103,D24,LION1,DCM_LMZO,Tue Jun 04 00:18:07 2019,magdzi83,0,3,3.9323974853310837,2.370005942099569e-07,0.004200757999776469,1255845503867.3489,-6.046094562858343
